user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_numeric,engagement_score,payment_reliability,support_intensity,recency_risk
66,2024-04-11,Basic,199,1.6,7,4,2,54,Yes,1,0.8,0.2,3.5,27.0
67,2024-11-02,Standard,399,18.1,6,3,13,25,Yes,1,1.3923076923076925,0.25,0.46153846153846156,1.9230769230769231
68,2024-12-13,Premium,699,22.4,1,3,1,14,Yes,1,22.4,0.25,1.0,14.0
69,2024-04-20,Premium,699,1.7,3,0,30,29,Yes,1,0.056666666666666664,1.0,0.1,0.9666666666666667
70,2024-05-31,Premium,699,24.7,5,3,34,39,No,0,0.7264705882352941,0.25,0.14705882352941177,1.1470588235294117
71,2023-09-23,Standard,399,11.4,2,5,36,55,Yes,1,0.31666666666666665,0.16666666666666666,0.05555555555555555,1.5277777777777777
72,2024-03-26,Basic,199,19.3,8,3,18,40,Yes,1,1.0722222222222222,0.25,0.4444444444444444,2.2222222222222223
73,2023-05-22,Basic,199,6.2,5,2,19,57,Yes,1,0.3263157894736842,0.3333333333333333,0.2631578947368421,3.0
74,2024-02-22,Basic,199,9.9,2,5,15,13,Yes,1,0.66,0.16666666666666666,0.13333333333333333,0.8666666666666667
75,2024-08-21,Standard,399,11.9,0,1,35,53,No,0,0.34,0.5,0.0,1.5142857142857142
76,2023-11-02,Premium,699,21.5,6,3,2,0,No,0,10.75,0.25,3.0,0.0
77,2023-08-13,Standard,399,13.7,8,4,27,57,Yes,1,0.5074074074074074,0.2,0.2962962962962963,2.111111111111111
78,2024-02-19,Standard,399,12.4,6,2,28,42,Yes,1,0.4428571428571429,0.3333333333333333,0.21428571428571427,1.5
79,2024-02-08,Premium,699,21.1,2,4,11,34,Yes,1,1.9181818181818182,0.2,0.18181818181818182,3.090909090909091
80,2023-02-21,Premium,699,2.6,6,1,2,55,Yes,1,1.3,0.5,3.0,27.5
81,2024-01-24,Standard,399,8.5,7,2,25,21,No,0,0.34,0.3333333333333333,0.28,0.84
82,2023-02-23,Standard,399,6.7,1,3,27,1,No,0,0.24814814814814815,0.25,0.037037037037037035,0.037037037037037035
83,2023-01-21,Standard,399,16.4,0,0,15,60,Yes,1,1.0933333333333333,1.0,0.0,4.0
84,2023-08-12,Premium,699,6.3,7,5,10,7,No,0,0.63,0.16666666666666666,0.7,0.7
85,2023-04-28,Standard,399,19.3,2,4,17,38,No,0,1.1352941176470588,0.2,0.11764705882352941,2.235294117647059
86,2024-01-20,Basic,199,3.1,0,2,20,36,Yes,1,0.155,0.3333333333333333,0.0,1.8
87,2024-12-01,Standard,399,2.4,3,0,13,44,No,0,0.1846153846153846,1.0,0.23076923076923078,3.3846153846153846
88,2024-01-15,Premium,699,20.0,0,2,8,34,Yes,1,2.5,0.3333333333333333,0.0,4.25
89,2024-03-19,Basic,199,16.4,0,3,33,52,Yes,1,0.49696969696969695,0.25,0.0,1.5757575757575757
90,2024-10-28,Standard,399,17.8,6,1,30,46,No,0,0.5933333333333334,0.5,0.2,1.5333333333333334
91,2023-10-02,Standard,399,19.5,7,3,35,52,Yes,1,0.5571428571428572,0.25,0.2,1.4857142857142858
92,2024-04-20,Standard,399,20.9,1,2,16,56,Yes,1,1.30625,0.3333333333333333,0.0625,3.5
93,2023-12-30,Premium,699,8.7,7,2,25,11,Yes,1,0.348,0.3333333333333333,0.28,0.44
94,2023-07-15,Standard,399,7.4,4,4,22,0,No,0,0.33636363636363636,0.2,0.18181818181818182,0.0
95,2024-05-02,Basic,199,18.1,7,4,16,48,Yes,1,1.13125,0.2,0.4375,3.0
96,2024-12-09,Premium,699,11.5,0,0,32,18,No,0,0.359375,1.0,0.0,0.5625
97,2024-03-11,Basic,199,16.8,5,3,20,35,Yes,1,0.8400000000000001,0.25,0.25,1.75
98,2023-05-04,Premium,699,8.6,7,2,36,19,Yes,1,0.23888888888888887,0.3333333333333333,0.19444444444444445,0.5277777777777778
99,2024-05-10,Premium,699,8.2,8,5,13,11,Yes,1,0.6307692307692307,0.16666666666666666,0.6153846153846154,0.8461538461538461
100,2023-07-03,Standard,399,15.1,1,1,34,18,No,0,0.4441176470588235,0.5,0.029411764705882353,0.5294117647058824
101,2024-07-20,Standard,399,17.8,2,2,1,2,No,0,17.8,0.3333333333333333,2.0,2.0
102,2023-10-19,Standard,399,16.1,7,0,9,55,Yes,1,1.788888888888889,1.0,0.7777777777777778,6.111111111111111
103,2024-05-04,Standard,399,11.3,2,0,31,16,No,0,0.3645161290322581,1.0,0.06451612903225806,0.5161290322580645
104,2023-06-05,Basic,199,10.3,1,4,5,40,No,0,2.06,0.2,0.2,8.0
105,2024-09-12,Basic,199,2.6,3,0,20,35,No,0,0.13,1.0,0.15,1.75
106,2024-08-25,Premium,699,19.5,6,3,15,58,Yes,1,1.3,0.25,0.4,3.8666666666666667
107,2023-08-01,Standard,399,14.4,0,4,20,47,Yes,1,0.72,0.2,0.0,2.35
108,2023-03-18,Premium,699,7.0,1,1,14,15,No,0,0.5,0.5,0.07142857142857142,1.0714285714285714
109,2024-12-24,Basic,199,10.5,7,2,1,2,Yes,1,10.5,0.3333333333333333,7.0,2.0
110,2024-08-26,Standard,399,2.2,3,2,30,50,Yes,1,0.07333333333333333,0.3333333333333333,0.1,1.6666666666666667
111,2023-09-30,Premium,699,10.9,8,1,13,41,Yes,1,0.8384615384615385,0.5,0.6153846153846154,3.1538461538461537
112,2023-10-23,Basic,199,2.0,4,4,5,47,Yes,1,0.4,0.2,0.8,9.4
113,2024-05-27,Standard,399,12.0,4,5,8,25,No,0,1.5,0.16666666666666666,0.5,3.125
114,2023-09-14,Premium,699,11.2,0,3,32,47,Yes,1,0.35,0.25,0.0,1.46875
115,2023-02-11,Basic,199,6.1,0,5,6,52,Yes,1,1.0166666666666666,0.16666666666666666,0.0,8.666666666666666
116,2024-03-22,Basic,199,13.2,7,2,31,11,No,0,0.4258064516129032,0.3333333333333333,0.22580645161290322,0.3548387096774194
117,2024-11-17,Premium,699,24.2,7,2,32,26,Yes,1,0.75625,0.3333333333333333,0.21875,0.8125
118,2024-07-17,Basic,199,8.6,7,2,11,42,No,0,0.7818181818181817,0.3333333333333333,0.6363636363636364,3.8181818181818183
119,2024-02-18,Basic,199,2.7,4,2,30,7,No,0,0.09000000000000001,0.3333333333333333,0.13333333333333333,0.23333333333333334
120,2024-06-14,Premium,699,16.6,8,3,1,26,Yes,1,16.6,0.25,8.0,26.0
121,2023-10-22,Standard,399,15.8,0,1,32,17,No,0,0.49375,0.5,0.0,0.53125
122,2023-01-15,Standard,399,3.5,3,5,32,10,Yes,1,0.109375,0.16666666666666666,0.09375,0.3125
123,2023-06-07,Premium,699,2.8,1,3,27,60,Yes,1,0.1037037037037037,0.25,0.037037037037037035,2.2222222222222223
124,2024-04-28,Standard,399,13.0,4,3,19,53,Yes,1,0.6842105263157895,0.25,0.21052631578947367,2.789473684210526
125,2023-05-20,Basic,199,14.0,6,1,30,58,No,0,0.4666666666666667,0.5,0.2,1.9333333333333333
126,2023-10-01,Basic,199,19.4,6,2,18,59,No,0,1.0777777777777777,0.3333333333333333,0.3333333333333333,3.2777777777777777
127,2023-12-20,Basic,199,18.3,7,1,19,28,No,0,0.9631578947368421,0.5,0.3684210526315789,1.4736842105263157
128,2023-07-13,Standard,399,19.2,6,3,36,59,Yes,1,0.5333333333333333,0.25,0.16666666666666666,1.6388888888888888
129,2024-04-29,Premium,699,14.5,3,3,16,2,Yes,1,0.90625,0.25,0.1875,0.125
130,2024-08-27,Premium,699,10.0,2,3,25,2,Yes,1,0.4,0.25,0.08,0.08
131,2023-01-16,Standard,399,21.9,7,0,7,33,No,0,3.1285714285714286,1.0,1.0,4.714285714285714
132,2023-09-29,Premium,699,10.5,2,0,10,30,No,0,1.05,1.0,0.2,3.0
133,2023-11-21,Standard,399,16.4,5,5,26,54,Yes,1,0.6307692307692307,0.16666666666666666,0.19230769230769232,2.076923076923077
134,2024-12-01,Premium,699,21.9,0,4,32,4,Yes,1,0.684375,0.2,0.0,0.125
135,2023-04-13,Standard,399,18.8,6,0,15,48,No,0,1.2533333333333334,1.0,0.4,3.2
136,2023-10-28,Standard,399,17.5,0,0,11,20,No,0,1.5909090909090908,1.0,0.0,1.8181818181818181
137,2023-07-04,Standard,399,11.1,3,4,24,26,Yes,1,0.46249999999999997,0.2,0.125,1.0833333333333333
138,2024-08-20,Basic,199,2.4,6,4,12,43,Yes,1,0.19999999999999998,0.2,0.5,3.5833333333333335
139,2024-04-21,Basic,199,11.8,4,3,15,16,No,0,0.7866666666666667,0.25,0.26666666666666666,1.0666666666666667
140,2024-03-10,Standard,399,4.4,7,2,35,37,Yes,1,0.12571428571428572,0.3333333333333333,0.2,1.0571428571428572
141,2023-04-20,Premium,699,11.7,4,1,17,24,No,0,0.6882352941176471,0.5,0.23529411764705882,1.411764705882353
142,2024-11-05,Basic,199,14.5,4,5,25,18,Yes,1,0.58,0.16666666666666666,0.16,0.72
143,2023-10-21,Standard,399,0.7,0,4,18,47,Yes,1,0.03888888888888889,0.2,0.0,2.611111111111111
144,2024-11-06,Basic,199,5.9,3,4,23,16,No,0,0.2565217391304348,0.2,0.13043478260869565,0.6956521739130435
145,2024-08-16,Premium,699,15.9,0,2,9,50,Yes,1,1.7666666666666666,0.3333333333333333,0.0,5.555555555555555
146,2023-07-25,Standard,399,2.7,4,2,9,47,Yes,1,0.30000000000000004,0.3333333333333333,0.4444444444444444,5.222222222222222
147,2023-06-18,Basic,199,22.0,5,4,35,32,No,0,0.6285714285714286,0.2,0.14285714285714285,0.9142857142857143
148,2023-04-28,Standard,399,24.2,4,5,31,55,Yes,1,0.7806451612903226,0.16666666666666666,0.12903225806451613,1.7741935483870968
149,2024-02-11,Standard,399,3.9,3,5,5,46,Yes,1,0.78,0.16666666666666666,0.6,9.2
150,2024-04-10,Premium,699,2.7,6,0,24,16,No,0,0.1125,1.0,0.25,0.6666666666666666
151,2023-01-26,Standard,399,14.8,5,0,17,43,Yes,1,0.8705882352941177,1.0,0.29411764705882354,2.5294117647058822
152,2024-04-20,Premium,699,8.5,3,5,36,4,No,0,0.2361111111111111,0.16666666666666666,0.08333333333333333,0.1111111111111111
153,2023-11-08,Premium,699,16.4,1,1,20,2,No,0,0.82,0.5,0.05,0.1
154,2024-11-17,Standard,399,2.9,8,1,8,24,Yes,1,0.3625,0.5,1.0,3.0
155,2024-05-16,Premium,699,10.8,2,3,35,41,Yes,1,0.3085714285714286,0.25,0.05714285714285714,1.1714285714285715
156,2024-03-30,Premium,699,23.5,4,0,27,44,Yes,1,0.8703703703703703,1.0,0.14814814814814814,1.6296296296296295
157,2024-10-22,Standard,399,21.5,1,5,16,23,Yes,1,1.34375,0.16666666666666666,0.0625,1.4375
158,2024-04-10,Standard,399,10.3,3,0,4,60,No,0,2.575,1.0,0.75,15.0
159,2023-05-09,Basic,199,16.2,0,0,14,50,Yes,1,1.157142857142857,1.0,0.0,3.5714285714285716
160,2023-08-27,Premium,699,2.2,8,1,14,37,Yes,1,0.15714285714285717,0.5,0.5714285714285714,2.642857142857143
161,2023-05-14,Standard,399,19.8,0,2,10,54,No,0,1.98,0.3333333333333333,0.0,5.4
162,2023-01-16,Premium,699,20.1,1,5,17,55,Yes,1,1.1823529411764706,0.16666666666666666,0.058823529411764705,3.235294117647059
163,2024-03-07,Standard,399,14.9,0,1,16,16,Yes,1,0.93125,0.5,0.0,1.0
164,2024-08-30,Premium,699,18.8,7,3,8,49,Yes,1,2.35,0.25,0.875,6.125
165,2024-11-05,Basic,199,12.8,0,5,29,50,No,0,0.44137931034482764,0.16666666666666666,0.0,1.7241379310344827
166,2024-03-12,Premium,699,11.7,0,0,20,30,No,0,0.585,1.0,0.0,1.5
167,2024-09-14,Premium,699,12.5,7,0,7,57,Yes,1,1.7857142857142858,1.0,1.0,8.142857142857142
168,2024-09-03,Basic,199,3.6,8,5,5,20,Yes,1,0.72,0.16666666666666666,1.6,4.0
169,2024-11-01,Premium,699,11.6,6,0,19,50,No,0,0.6105263157894737,1.0,0.3157894736842105,2.6315789473684212
170,2024-02-28,Premium,699,18.2,3,3,36,28,No,0,0.5055555555555555,0.25,0.08333333333333333,0.7777777777777778
171,2023-09-19,Standard,399,10.3,1,2,30,27,Yes,1,0.3433333333333334,0.3333333333333333,0.03333333333333333,0.9
172,2023-04-06,Standard,399,17.3,7,0,10,5,No,0,1.73,1.0,0.7,0.5
173,2024-07-29,Standard,399,18.7,5,1,7,35,Yes,1,2.6714285714285713,0.5,0.7142857142857143,5.0
174,2024-03-09,Premium,699,16.9,6,2,22,55,Yes,1,0.7681818181818181,0.3333333333333333,0.2727272727272727,2.5
175,2023-08-06,Premium,699,24.2,4,2,4,6,No,0,6.05,0.3333333333333333,1.0,1.5
176,2023-04-28,Basic,199,6.0,1,2,31,54,Yes,1,0.1935483870967742,0.3333333333333333,0.03225806451612903,1.7419354838709677
177,2024-07-24,Standard,399,20.3,8,4,15,39,Yes,1,1.3533333333333333,0.2,0.5333333333333333,2.6
178,2023-12-14,Basic,199,1.2,4,5,18,48,Yes,1,0.06666666666666667,0.16666666666666666,0.2222222222222222,2.6666666666666665
179,2023-05-26,Standard,399,4.9,2,4,1,42,Yes,1,4.9,0.2,2.0,42.0
180,2023-12-16,Premium,699,2.7,8,1,2,24,Yes,1,1.35,0.5,4.0,12.0
181,2023-02-23,Basic,199,8.1,5,4,24,38,Yes,1,0.33749999999999997,0.2,0.20833333333333334,1.5833333333333333
182,2024-11-08,Basic,199,19.0,0,5,11,5,Yes,1,1.7272727272727273,0.16666666666666666,0.0,0.45454545454545453
183,2023-04-27,Standard,399,15.4,6,2,32,13,No,0,0.48125,0.3333333333333333,0.1875,0.40625
184,2023-08-14,Standard,399,3.2,7,4,28,42,Yes,1,0.1142857142857143,0.2,0.25,1.5
185,2023-09-19,Standard,399,0.7,4,1,4,49,Yes,1,0.175,0.5,1.0,12.25
186,2024-01-25,Standard,399,3.4,7,5,21,27,Yes,1,0.1619047619047619,0.16666666666666666,0.3333333333333333,1.2857142857142858
187,2023-02-13,Premium,699,12.8,5,0,15,25,No,0,0.8533333333333334,1.0,0.3333333333333333,1.6666666666666667
188,2024-02-19,Standard,399,11.8,1,2,2,36,Yes,1,5.9,0.3333333333333333,0.5,18.0
189,2024-09-24,Premium,699,7.6,6,0,27,20,Yes,1,0.28148148148148144,1.0,0.2222222222222222,0.7407407407407407
190,2024-06-20,Standard,399,2.7,1,1,24,27,Yes,1,0.1125,0.5,0.041666666666666664,1.125
191,2023-03-20,Basic,199,21.8,5,1,26,21,No,0,0.8384615384615385,0.5,0.19230769230769232,0.8076923076923077
192,2024-10-22,Premium,699,13.5,3,2,8,22,No,0,1.6875,0.3333333333333333,0.375,2.75
193,2024-11-02,Basic,199,3.0,4,1,16,11,No,0,0.1875,0.5,0.25,0.6875
194,2024-08-16,Basic,199,23.8,7,3,12,48,Yes,1,1.9833333333333334,0.25,0.5833333333333334,4.0
195,2024-03-28,Standard,399,21.7,5,1,21,28,Yes,1,1.0333333333333332,0.5,0.23809523809523808,1.3333333333333333
196,2024-04-17,Premium,699,20.0,0,2,20,32,Yes,1,1.0,0.3333333333333333,0.0,1.6
197,2023-04-03,Standard,399,1.9,4,0,3,41,No,0,0.6333333333333333,1.0,1.3333333333333333,13.666666666666666
198,2024-08-08,Premium,699,9.9,8,5,33,57,Yes,1,0.3,0.16666666666666666,0.24242424242424243,1.7272727272727273
199,2024-04-06,Premium,699,8.4,7,4,13,9,No,0,0.6461538461538462,0.2,0.5384615384615384,0.6923076923076923
200,2023-09-11,Basic,199,24.6,1,4,22,41,Yes,1,1.1181818181818182,0.2,0.045454545454545456,1.8636363636363635
201,2024-01-17,Premium,699,24.8,8,4,29,39,Yes,1,0.8551724137931035,0.2,0.27586206896551724,1.3448275862068966
202,2024-10-08,Standard,399,10.5,5,5,25,38,Yes,1,0.42,0.16666666666666666,0.2,1.52
203,2023-09-16,Premium,699,2.1,1,4,22,43,Yes,1,0.09545454545454546,0.2,0.045454545454545456,1.9545454545454546
204,2024-12-16,Premium,699,8.7,2,2,10,19,No,0,0.8699999999999999,0.3333333333333333,0.2,1.9
205,2023-12-03,Premium,699,3.7,1,2,26,35,Yes,1,0.1423076923076923,0.3333333333333333,0.038461538461538464,1.3461538461538463
206,2023-11-13,Basic,199,2.8,6,4,34,23,Yes,1,0.08235294117647059,0.2,0.17647058823529413,0.6764705882352942
207,2023-06-08,Basic,199,8.9,7,1,14,14,No,0,0.6357142857142858,0.5,0.5,1.0
208,2024-06-23,Basic,199,21.2,1,4,19,49,Yes,1,1.1157894736842104,0.2,0.05263157894736842,2.5789473684210527
209,2023-07-05,Basic,199,22.0,2,4,22,24,Yes,1,1.0,0.2,0.09090909090909091,1.0909090909090908
210,2023-09-01,Premium,699,18.2,0,3,11,23,No,0,1.6545454545454545,0.25,0.0,2.090909090909091
211,2024-04-25,Standard,399,18.9,7,1,19,34,Yes,1,0.994736842105263,0.5,0.3684210526315789,1.7894736842105263
212,2024-01-27,Basic,199,17.1,7,3,24,49,Yes,1,0.7125,0.25,0.2916666666666667,2.0416666666666665
213,2023-09-14,Premium,699,10.8,2,1,34,51,No,0,0.31764705882352945,0.5,0.058823529411764705,1.5
214,2023-05-08,Basic,199,21.9,8,0,31,45,No,0,0.7064516129032258,1.0,0.25806451612903225,1.4516129032258065
215,2024-03-23,Standard,399,19.2,4,3,6,57,Yes,1,3.1999999999999997,0.25,0.6666666666666666,9.5
216,2024-05-29,Basic,199,20.5,5,0,15,26,Yes,1,1.3666666666666667,1.0,0.3333333333333333,1.7333333333333334
217,2023-04-12,Standard,399,10.0,1,2,16,14,Yes,1,0.625,0.3333333333333333,0.0625,0.875
218,2024-04-28,Premium,699,19.9,2,0,22,18,No,0,0.9045454545454544,1.0,0.09090909090909091,0.8181818181818182
219,2023-03-23,Premium,699,19.1,7,3,9,39,Yes,1,2.1222222222222222,0.25,0.7777777777777778,4.333333333333333
220,2024-06-24,Basic,199,5.8,2,4,17,60,No,0,0.3411764705882353,0.2,0.11764705882352941,3.5294117647058822
221,2024-03-05,Standard,399,19.5,3,2,8,7,Yes,1,2.4375,0.3333333333333333,0.375,0.875
222,2024-06-11,Premium,699,2.0,7,4,30,34,Yes,1,0.06666666666666667,0.2,0.23333333333333334,1.1333333333333333
223,2023-09-04,Premium,699,18.1,4,3,16,0,No,0,1.13125,0.25,0.25,0.0
224,2024-06-22,Premium,699,5.1,1,4,27,23,Yes,1,0.18888888888888888,0.2,0.037037037037037035,0.8518518518518519
225,2024-04-26,Premium,699,19.8,8,4,33,1,Yes,1,0.6,0.2,0.24242424242424243,0.030303030303030304
226,2023-03-11,Basic,199,24.5,4,5,25,1,Yes,1,0.98,0.16666666666666666,0.16,0.04
227,2023-05-17,Standard,399,18.5,1,4,16,47,No,0,1.15625,0.2,0.0625,2.9375
228,2024-05-05,Basic,199,13.9,2,5,23,29,No,0,0.6043478260869566,0.16666666666666666,0.08695652173913043,1.2608695652173914
229,2023-02-07,Premium,699,20.4,1,5,12,49,No,0,1.7,0.16666666666666666,0.08333333333333333,4.083333333333333
230,2024-06-11,Standard,399,1.6,3,0,13,20,No,0,0.12307692307692308,1.0,0.23076923076923078,1.5384615384615385
231,2023-02-18,Standard,399,12.1,0,5,35,12,Yes,1,0.3457142857142857,0.16666666666666666,0.0,0.34285714285714286
232,2024-03-26,Premium,699,7.2,5,3,22,56,Yes,1,0.32727272727272727,0.25,0.22727272727272727,2.5454545454545454
233,2024-06-15,Standard,399,24.4,7,5,22,31,Yes,1,1.1090909090909091,0.16666666666666666,0.3181818181818182,1.4090909090909092
234,2023-07-04,Standard,399,18.3,1,3,6,38,No,0,3.0500000000000003,0.25,0.16666666666666666,6.333333333333333
